stock_no,product_size,profit,product_type,weight,product_name
83,0.0,968.97,furniture,5.69,shelves
399,0.0,975.7,clothing,4.38,jeans
641,0.0,208.02,food,9.0,whey
676,0.0,630.27,food,14.77,rice
1498,0.0,337.27,furniture,18.42,shelves
1842,0.0,860.89,clothing,12.8,jeans
5420,0.0,897.99,food,1.26,roll
8661,0.0,378.72,food,7.59,bread
8667,0.0,49.16,food,16.76,noodles
71,0.01,350.5,clothing,17.11,trousers
541,0.01,950.37,clothing,0.59,polo
1708,0.01,762.91,food,8.69,rice
2776,0.01,346.2,food,5.93,yoghurt
3900,0.01,147.82,furniture,0.76,sofa
3952,0.01,411.44,furniture,10.05,press
6557,0.01,827.27,furniture,2.21,press
7010,0.01,807.6,clothing,6.49,shirt
7046,0.01,159.98,clothing,9.65,shirt
8160,0.01,787.84,food,1.88,ice cream
9031,0.01,313.88,food,11.44,quinoa
975,0.02,995.38,food,16.36,yoghurt
2296,0.02,12.22,clothing,3.58,trousers
5149,0.02,962.94,furniture,2.2,desk
6506,0.02,470.59,food,1.82,whey
6636,0.02,414.76,furniture,13.24,cot
6649,0.02,711.7,food,6.77,chicken
8491,0.02,732.54,clothing,0.53,skirt
2146,0.03,488.69,food,11.41,sauce
2226,0.03,603.96,clothing,16.28,polo
3551,0.03,170.61,furniture,10.48,cot
3624,0.03,981.13,furniture,15.75,chair
4504,0.03,18.22,food,11.36,quinoa
4521,0.03,575.2,food,8.37,noodles
8362,0.03,649.94,clothing,13.46,polo
8609,0.03,648.51,clothing,7.15,socks
9672,0.03,446.45,food,0.21,beef
9974,0.03,361.51,clothing,19.49,trousers
349,0.04,99.63,clothing,16.39,t-shirt
1451,0.04,938.71,food,6.24,whey
2341,0.04,539.21,furniture,15.26,dining table
2714,0.04,709.39,food,1.46,sauce
2726,0.04,465.84,furniture,12.66,dining table
4093,0.04,111.53,furniture,15.44,desk
4479,0.04,511.73,clothing,8.4,socks
6852,0.04,631.55,clothing,16.68,skirt
908,0.05,565.58,furniture,11.14,press
1916,0.05,173.33,furniture,2.07,press
2159,0.05,909.31,clothing,7.25,shirt
2289,0.05,437.0,food,15.77,ice cream
2565,0.05,37.78,food,4.43,whey
2708,0.05,568.08,food,10.3,yoghurt
3723,0.05,67.63,food,15.07,beef
4937,0.05,423.58,clothing,11.21,socks
5282,0.05,933.14,clothing,18.52,shirt
6857,0.05,320.66,furniture,13.83,cot
7573,0.05,726.37,furniture,7.41,chair
401,0.06,427.33,clothing,18.9,socks
1295,0.06,247.0,furniture,1.62,desk
1510,0.06,112.84,furniture,2.18,sofa
2999,0.06,553.66,furniture,15.96,shelves
3842,0.06,11.85,clothing,12.29,t-shirt
4032,0.06,871.96,food,10.38,quinoa
4175,0.06,847.59,food,17.44,wrap
4347,0.06,55.65,clothing,17.62,tie
6030,0.06,315.36,clothing,10.29,jeans
6650,0.06,349.35,furniture,8.27,sofa
6956,0.06,24.97,food,8.48,yoghurt
7108,0.06,408.39,furniture,9.54,cot
7863,0.06,836.8,furniture,8.01,press
9359,0.06,807.7,clothing,18.06,polo
9938,0.06,234.55,furniture,3.23,bed
1363,0.07,705.77,food,3.93,chicken
1387,0.07,744.82,furniture,13.85,sofa
2358,0.07,810.91,clothing,14.01,trousers
2732,0.07,23.45,food,13.44,wrap
3198,0.07,573.06,food,17.46,quinoa
3362,0.07,213.85,food,16.13,wrap
4008,0.07,523.53,clothing,14.93,skirt
4064,0.07,201.73,furniture,19.96,dining table
4613,0.07,973.61,clothing,18.77,t-shirt
6036,0.07,113.26,food,19.94,ice cream
6126,0.07,245.34,clothing,4.54,shirt
6663,0.07,952.41,food,2.45,wrap
7679,0.07,814.6,clothing,18.08,polo
8790,0.07,305.65,food,5.49,sauce
112,0.08,461.23,furniture,10.83,desk
327,0.08,655.07,clothing,7.07,trousers
522,0.08,155.5,food,5.02,yoghurt
828,0.08,433.39,furniture,2.32,cot
1631,0.08,717.56,food,6.78,quinoa
3815,0.08,988.34,furniture,3.94,shelves
5054,0.08,490.99,food,1.1,roll
6211,0.08,646.39,food,18.68,quinoa
6507,0.08,180.54,furniture,18.82,dining table
6927,0.08,140.16,clothing,1.92,jeans
7070,0.08,144.26,furniture,13.25,press
8416,0.08,675.58,clothing,12.79,underwear
8718,0.08,720.01,clothing,6.02,jeans
8725,0.08,913.06,clothing,5.89,t-shirt
8898,0.08,690.78,furniture,6.49,chair
9046,0.08,239.23,clothing,8.21,t-shirt
1479,0.09,276.04,furniture,18.37,chair
1548,0.09,6.59,furniture,1.27,chair
3434,0.09,335.7,food,10.64,rice
7184,0.09,79.34,clothing,5.95,t-shirt
8200,0.09,113.46,food,13.33,bread
8271,0.09,764.17,furniture,7.53,shelves
8273,0.09,463.76,food,4.78,wrap
9580,0.09,480.53,clothing,11.85,underwear
9664,0.09,241.81,food,13.19,wrap
9865,0.09,345.43,food,16.61,yoghurt
11,0.1,3.89,furniture,17.39,chair
2537,0.1,540.55,furniture,13.79,cot
2759,0.1,779.35,food,17.59,sauce
3386,0.1,193.96,clothing,11.13,skirt
5463,0.1,565.84,clothing,10.89,t-shirt
7357,0.1,744.95,furniture,16.4,desk
7978,0.1,155.76,furniture,2.71,sofa
8039,0.1,68.71,clothing,0.38,shirt
8630,0.1,762.66,clothing,15.13,shirt
9232,0.1,253.56,furniture,6.07,bed
9469,0.1,375.83,food,5.01,beef
900,0.11,37.12,clothing,7.7,underwear
1229,0.11,509.98,furniture,19.47,dining table
1242,0.11,159.44,furniture,11.08,chair
1518,0.11,790.79,clothing,19.41,jeans
5005,0.11,587.43,food,6.32,whey
9063,0.11,47.86,furniture,10.46,desk
938,0.12,950.04,furniture,0.52,press
2091,0.12,331.31,clothing,3.67,polo
2342,0.12,883.78,food,5.32,rice
2604,0.12,917.32,clothing,8.48,socks
2680,0.12,951.84,food,13.59,ice cream
4026,0.12,986.36,furniture,0.24,sofa
5844,0.12,363.53,food,5.45,chicken
6176,0.12,389.45,clothing,4.2,tie
7467,0.12,797.2,food,3.24,rice
7547,0.12,827.57,clothing,15.34,trousers
7799,0.12,300.67,food,19.36,sauce
8027,0.12,41.37,clothing,10.02,shirt
9818,0.12,333.78,food,3.7,ice cream
138,0.13,234.36,clothing,2.1,tie
765,0.13,401.67,clothing,0.09,shirt
970,0.13,88.46,clothing,18.89,trousers
5250,0.13,37.79,clothing,7.74,dress
6899,0.13,600.59,food,12.27,quinoa
7156,0.13,438.56,furniture,19.31,shelves
8457,0.13,811.42,food,7.91,sauce
9657,0.13,216.68,clothing,0.67,underwear
1846,0.14,378.41,clothing,0.16,tie
2042,0.14,628.38,food,10.32,ice cream
2387,0.14,612.83,food,6.13,yoghurt
3313,0.14,456.36,clothing,7.56,skirt
7587,0.14,991.95,furniture,1.78,press
8195,0.14,980.07,furniture,15.61,press
8398,0.14,90.3,clothing,5.08,t-shirt
8470,0.14,804.46,clothing,16.41,socks
9099,0.14,961.75,clothing,13.66,jeans
9995,0.14,422.2,furniture,3.89,desk
1320,0.15,307.56,food,15.15,roll
2361,0.15,471.12,food,6.04,chicken
2458,0.15,426.15,clothing,18.71,jeans
2699,0.15,636.63,furniture,13.41,cot
4433,0.15,819.91,clothing,8.99,polo
5101,0.15,681.2,food,15.43,beef
8555,0.15,178.51,clothing,3.62,skirt
818,0.16,834.85,clothing,19.17,dress
1102,0.16,453.53,clothing,6.67,skirt
4904,0.16,936.55,furniture,0.72,chair
6280,0.16,645.74,clothing,18.1,t-shirt
8237,0.16,676.86,furniture,10.69,bed
8906,0.16,44.21,food,4.4,beef
433,0.17,204.99,clothing,4.42,socks
1633,0.17,781.37,furniture,7.7,chair
4794,0.17,994.99,clothing,13.3,skirt
7091,0.17,718.4,food,13.59,quinoa
7522,0.17,996.43,furniture,10.82,chair
7921,0.17,806.95,food,18.86,quinoa
8082,0.17,229.69,food,8.35,sauce
8293,0.17,556.42,food,19.02,sauce
9308,0.17,971.78,food,6.51,noodles
1685,0.18,839.76,food,18.4,rice
2884,0.18,625.8,clothing,5.35,socks
2893,0.18,285.14,food,10.75,ice cream
3567,0.18,450.72,furniture,14.43,shelves
3695,0.18,439.56,furniture,19.45,cot
5218,0.18,537.39,furniture,10.82,shelves
5527,0.18,71.01,furniture,1.13,sofa
7981,0.18,223.98,furniture,16.68,chair
8355,0.18,514.31,food,8.88,rice
8359,0.18,237.98,clothing,8.94,shirt
9291,0.18,530.62,clothing,2.17,trousers
1007,0.19,62.83,clothing,7.38,t-shirt
2273,0.19,748.27,furniture,0.41,chair
2834,0.19,535.34,clothing,11.69,shirt
2872,0.19,306.09,clothing,1.31,polo
4666,0.19,337.0,food,6.7,noodles
5014,0.19,452.94,furniture,9.24,cot
5022,0.19,367.99,furniture,12.41,chair
7411,0.19,446.71,furniture,13.05,bed
7432,0.19,249.62,furniture,6.53,desk
7754,0.19,252.18,clothing,3.36,polo
8072,0.19,848.54,furniture,2.49,press
9112,0.19,77.17,furniture,5.03,shelves
538,0.2,928.47,furniture,18.73,chair
746,0.2,227.53,furniture,12.51,desk
2256,0.2,312.02,clothing,8.28,socks
2301,0.2,301.5,food,0.08,beef
2566,0.2,543.38,furniture,3.27,desk
2919,0.2,615.56,food,15.64,chicken
3266,0.2,996.55,furniture,18.09,bed
4250,0.2,780.34,furniture,11.67,dining table
4708,0.2,756.04,clothing,17.16,tie
5364,0.2,336.26,furniture,11.52,bed
6215,0.2,85.3,clothing,8.73,dress
6945,0.2,96.73,food,0.62,chicken
7215,0.2,816.73,food,1.84,quinoa
9621,0.2,331.33,clothing,0.25,skirt
9774,0.2,97.87,food,1.17,roll
9941,0.2,860.54,furniture,10.01,dining table
1472,0.21,769.83,furniture,7.96,desk
2357,0.21,784.52,food,17.26,roll
2729,0.21,921.41,furniture,2.2,desk
4927,0.21,162.52,clothing,0.3,t-shirt
5653,0.21,222.86,furniture,12.43,sofa
5843,0.21,20.15,food,15.79,whey
6813,0.21,217.87,furniture,19.57,bed
8438,0.21,996.17,furniture,11.37,shelves
9248,0.21,313.37,food,8.61,beef
9688,0.21,798.12,clothing,13.72,underwear
41,0.22,777.71,furniture,14.01,dining table
1853,0.22,518.12,food,9.64,beef
2551,0.22,360.43,clothing,19.03,underwear
2569,0.22,732.24,clothing,19.81,underwear
4341,0.22,248.35,food,4.51,roll
4465,0.22,344.82,food,5.4,whey
5321,0.22,587.6,food,5.06,wrap
6443,0.22,365.98,furniture,2.87,sofa
9222,0.22,668.67,clothing,11.09,shirt
9579,0.22,503.55,food,16.07,ice cream
4947,0.23,898.53,clothing,12.76,dress
5109,0.23,935.07,furniture,10.86,chair
6293,0.23,688.51,clothing,11.28,trousers
7644,0.23,422.02,clothing,19.99,shirt
7987,0.23,861.26,food,16.28,bread
310,0.24,922.28,food,2.61,bread
3123,0.24,755.1,food,13.63,yoghurt
3601,0.24,256.99,clothing,0.28,t-shirt
4722,0.24,769.16,clothing,12.75,tie
5232,0.24,593.14,clothing,10.43,tie
5395,0.24,679.01,clothing,9.93,shirt
7252,0.24,878.51,clothing,8.52,t-shirt
7288,0.24,720.2,furniture,5.13,sofa
7670,0.24,458.37,clothing,16.92,skirt
7671,0.24,118.97,furniture,5.97,sofa
392,0.25,959.35,clothing,18.35,jeans
3365,0.25,984.21,food,1.4,sauce
3923,0.25,10.47,clothing,19.65,shirt
5582,0.25,632.21,furniture,19.26,bed
5756,0.25,946.58,clothing,10.5,underwear
7005,0.25,843.27,food,14.35,chicken
7272,0.25,567.37,furniture,10.25,sofa
9020,0.25,524.28,clothing,5.72,socks
9780,0.25,846.12,furniture,15.25,cot
1757,0.26,939.24,clothing,18.2,underwear
3600,0.26,245.58,furniture,1.7,chair
6165,0.26,37.12,clothing,16.2,polo
7183,0.26,507.64,furniture,6.8,desk
7711,0.26,930.6,furniture,17.7,shelves
8925,0.26,929.41,furniture,4.97,shelves
144,0.27,675.63,clothing,17.38,jeans
256,0.27,718.76,clothing,11.36,tie
607,0.27,673.87,furniture,12.59,bed
1911,0.27,411.58,food,2.57,ice cream
2575,0.27,929.59,furniture,16.61,press
3053,0.27,9.8,furniture,5.42,chair
6417,0.27,889.33,clothing,9.55,underwear
7431,0.27,827.73,food,0.15,yoghurt
816,0.28,179.17,clothing,14.9,jeans
3839,0.28,420.21,furniture,4.69,press
4138,0.28,995.93,food,10.66,wrap
6854,0.28,128.06,food,18.66,chicken
7570,0.28,736.77,furniture,15.31,shelves
7855,0.28,429.44,clothing,3.12,underwear
8753,0.28,976.4,food,1.23,bread
9796,0.28,376.69,furniture,1.93,desk
967,0.29,192.63,food,18.95,beef
1769,0.29,345.21,furniture,3.34,desk
2619,0.29,490.0,clothing,13.75,t-shirt
3814,0.29,425.29,furniture,17.44,shelves
4422,0.29,440.42,furniture,11.61,cot
7019,0.29,983.31,food,8.52,chicken
7330,0.29,696.8,food,5.5,rice
8397,0.29,74.93,food,10.78,roll
9714,0.29,493.93,food,14.08,chicken
486,0.3,248.97,clothing,19.38,tie
1652,0.3,976.61,food,2.8,roll
4892,0.3,368.66,food,8.04,bread
5150,0.3,630.38,clothing,8.95,shirt
6698,0.3,889.6,furniture,2.27,chair
7167,0.3,282.52,furniture,19.37,press
7269,0.3,927.68,furniture,14.1,bed
7337,0.3,950.26,food,7.31,quinoa
9766,0.3,509.98,clothing,16.53,t-shirt
225,0.31,91.39,food,12.26,wrap
568,0.31,545.87,clothing,19.68,skirt
1558,0.31,877.85,clothing,0.6,underwear
1929,0.31,596.29,food,19.85,ice cream
2013,0.31,389.73,clothing,12.97,polo
4489,0.31,193.37,furniture,10.38,shelves
6814,0.31,480.76,furniture,9.14,shelves
7450,0.31,552.94,clothing,19.4,skirt
8005,0.31,628.99,food,2.03,ice cream
9352,0.31,506.82,furniture,0.67,shelves
9591,0.31,599.44,food,15.29,bread
9870,0.31,499.38,furniture,13.33,desk
313,0.32,381.33,furniture,17.64,chair
2036,0.32,345.35,clothing,6.51,socks
2074,0.32,910.15,clothing,19.32,socks
2283,0.32,709.15,food,3.99,noodles
2609,0.32,277.67,furniture,2.54,desk
4523,0.32,271.46,clothing,16.7,skirt
4748,0.32,499.98,food,19.95,rice
4969,0.32,814.54,clothing,11.88,jeans
5812,0.32,220.44,clothing,16.27,tie
5874,0.32,946.45,clothing,15.87,tie
6000,0.32,904.54,food,9.83,roll
6567,0.32,738.17,clothing,16.42,skirt
6778,0.32,321.56,clothing,17.05,tie
9943,0.32,281.84,furniture,11.73,sofa
38,0.33,480.64,furniture,8.95,sofa
686,0.33,545.62,furniture,8.24,cot
2616,0.33,617.37,furniture,12.04,press
2814,0.33,777.6,furniture,16.18,sofa
6263,0.33,225.2,furniture,6.4,bed
6490,0.33,609.82,clothing,15.67,t-shirt
6805,0.33,334.96,clothing,6.2,dress
8648,0.33,368.95,furniture,5.11,cot
8693,0.33,222.22,furniture,11.9,sofa
8967,0.33,528.79,furniture,1.43,desk
9168,0.33,709.27,clothing,17.03,trousers
1346,0.34,371.39,food,12.61,yoghurt
1372,0.34,282.58,food,6.9,rice
2167,0.34,283.8,furniture,6.65,cot
3395,0.34,917.11,food,13.59,roll
3880,0.34,642.46,furniture,7.62,dining table
3945,0.34,884.93,food,13.5,bread
4203,0.34,471.29,furniture,13.1,sofa
5404,0.34,797.45,clothing,11.16,trousers
7819,0.34,581.09,food,14.0,sauce
9208,0.34,204.51,clothing,2.21,polo
9243,0.34,449.29,food,3.34,bread
249,0.35,991.62,food,2.87,whey
1393,0.35,977.21,clothing,13.96,socks
1903,0.35,435.14,food,19.8,yoghurt
2820,0.35,284.22,furniture,15.54,sofa
2849,0.35,125.65,furniture,0.99,bed
3979,0.35,183.38,clothing,7.01,dress
4763,0.35,445.56,clothing,17.23,dress
4867,0.35,908.68,clothing,8.91,trousers
6328,0.35,842.2,clothing,4.02,skirt
7048,0.35,344.95,food,15.66,sauce
7146,0.35,32.97,furniture,10.52,cot
9979,0.35,913.38,furniture,18.88,sofa
440,0.36,275.46,food,13.47,noodles
1223,0.36,933.41,clothing,17.34,shirt
2578,0.36,341.4,clothing,1.02,underwear
3575,0.36,238.35,furniture,19.68,desk
4038,0.36,521.98,clothing,16.55,skirt
4241,0.36,486.13,furniture,8.85,chair
6157,0.36,726.68,clothing,17.7,trousers
7081,0.36,122.68,furniture,19.0,press
7250,0.36,52.13,clothing,2.3,dress
8680,0.36,716.62,food,18.63,roll
9093,0.36,606.69,clothing,7.93,polo
9318,0.36,545.81,clothing,19.33,jeans
9726,0.36,428.88,furniture,3.5,desk
9920,0.36,611.53,furniture,16.32,dining table
1575,0.37,491.16,clothing,17.66,underwear
1974,0.37,265.72,food,4.57,chicken
2753,0.37,817.75,furniture,4.44,desk
3065,0.37,854.37,furniture,9.19,sofa
3478,0.37,485.38,food,9.59,beef
4394,0.37,471.4,clothing,14.14,trousers
5278,0.37,543.67,furniture,13.68,dining table
6276,0.37,932.97,food,10.75,whey
6317,0.37,641.57,clothing,14.47,jeans
6874,0.37,775.68,clothing,0.79,polo
7903,0.37,224.23,clothing,14.5,skirt
8765,0.37,319.59,food,14.44,rice
9167,0.37,893.61,food,9.89,chicken
9406,0.37,590.19,clothing,7.78,polo
9757,0.37,898.28,furniture,15.55,cot
9922,0.37,832.07,clothing,9.11,socks
171,0.38,913.89,furniture,18.4,shelves
287,0.38,63.58,food,2.73,yoghurt
1130,0.38,645.4,furniture,12.99,shelves
2170,0.38,801.25,food,5.06,quinoa
2705,0.38,871.29,clothing,4.12,jeans
5477,0.38,86.89,food,9.03,roll
7035,0.38,942.65,clothing,2.28,tie
7277,0.38,52.38,furniture,17.88,press
7471,0.38,774.57,clothing,1.75,t-shirt
3319,0.39,152.61,furniture,5.15,bed
4628,0.39,903.31,clothing,5.57,dress
4914,0.39,10.38,furniture,8.68,desk
6737,0.39,794.14,clothing,7.15,socks
9066,0.39,741.19,furniture,4.17,shelves
9558,0.39,358.77,clothing,12.28,socks
329,0.4,899.98,furniture,18.57,dining table
1134,0.4,663.57,clothing,11.89,polo
2263,0.4,532.91,furniture,10.41,chair
2371,0.4,448.55,food,8.55,ice cream
4265,0.4,301.56,clothing,13.53,jeans
4663,0.4,113.6,clothing,12.02,trousers
5679,0.4,993.34,food,9.79,chicken
7448,0.4,941.12,furniture,16.77,desk
7619,0.4,275.28,furniture,4.56,sofa
7809,0.4,720.82,furniture,6.71,shelves
7998,0.4,726.79,furniture,11.36,sofa
8096,0.4,823.43,food,14.14,chicken
8120,0.4,356.87,furniture,12.78,desk
9335,0.4,352.19,clothing,6.43,shirt
9484,0.4,175.12,food,3.12,whey
117,0.41,107.7,furniture,17.58,cot
1674,0.41,774.0,food,8.67,whey
2691,0.41,800.48,clothing,15.59,socks
6463,0.41,963.49,clothing,1.07,underwear
7241,0.41,703.9,food,8.79,bread
9776,0.41,455.82,furniture,4.37,sofa
1137,0.42,847.49,furniture,19.61,chair
2198,0.42,319.12,furniture,4.35,desk
5408,0.42,49.43,food,1.71,sauce
5626,0.42,382.84,furniture,0.52,bed
8659,0.42,615.78,clothing,14.05,socks
8936,0.42,247.26,furniture,9.55,dining table
9379,0.42,181.86,food,1.28,sauce
9721,0.42,749.1,food,4.42,ice cream
9808,0.42,53.31,furniture,7.16,shelves
1910,0.43,136.73,clothing,2.28,polo
2862,0.43,283.41,clothing,7.01,trousers
3785,0.43,160.3,clothing,11.85,t-shirt
4174,0.43,902.55,furniture,18.21,bed
4272,0.43,507.5,food,10.66,whey
4280,0.43,26.99,clothing,3.23,shirt
6141,0.43,650.2,clothing,14.01,socks
7835,0.43,391.09,furniture,13.5,bed
8551,0.43,282.9,furniture,1.8,chair
9597,0.43,713.56,food,2.23,wrap
208,0.44,231.82,furniture,2.67,bed
1247,0.44,198.27,furniture,10.62,shelves
2990,0.44,801.26,clothing,13.67,underwear
4931,0.44,705.95,furniture,18.2,bed
5399,0.44,610.2,clothing,2.97,polo
5472,0.44,737.97,furniture,6.88,chair
6358,0.44,244.89,food,19.02,quinoa
7390,0.44,968.88,furniture,19.77,chair
7600,0.44,622.63,food,11.55,wrap
8199,0.44,520.15,furniture,19.01,shelves
9702,0.44,660.13,food,5.76,wrap
40,0.45,975.83,food,15.04,beef
1164,0.45,450.09,clothing,2.59,jeans
3340,0.45,877.09,furniture,1.47,press
